method,alpha,lambda,sigma,rho,qbo,qerm,mbo,m,Q
BENERR,5.5,0.10138099852221295,0.5,1.0,0.8424966997116561,6.822729891745188,nan,2.396908730210081,nan
BENERR,5.944444444444445,0.10053461548239181,0.5,1.0,0.8545576646120999,7.0727239334164285,nan,2.457816366035799,nan
BENERR,6.388888888888889,0.09904340853207404,0.5,1.0,0.8649759034076425,7.333626771750515,nan,2.5179327146023063,nan

BENLOS,0.1,0.2499396471095107,0.5,1.0,0.0496594804999958,0.10662529576713826,nan,0.07273682806043838,nan
BENLOS,0.3,0.23108274971298695,0.5,1.0,0.14144589175016553,0.3381049222496856,nan,0.21846009591669477,nan
BENLOS,0.6444444444444445,0.20510443233848827,0.5,1.0,0.2770650028924019,0.7839868025460389,nan,0.4654165248934478,nan
BENLOS,0.7777777777777777,0.19612455393431116,0.5,1.0,0.32249132198607156,0.9723386709267808,nan,0.5592073681288324,nan
BENLOS,1.188888888888889,0.174722994203482,0.5,1.0,0.4409106236008512,1.5754792260973063,nan,0.8324732406497013,nan
BENLOS,1.2555555555555555,0.1718317084385185,0.5,1.0,0.45736599965776115,1.6762189566050043,nan,0.8746279050515312,nan
BENLOS,1.7333333333333332,0.15519735893282077,0.5,1.0,0.5569314169403988,2.3901260567639455,nan,1.1528392045082685,nan
BENLOS,2.211111111111111,0.14325258696188725,0.5,1.0,0.6308697342534373,3.081091418207407,nan,1.3934506629546743,nan
BENLOS,2.277777777777778,0.14169219123628285,0.5,1.0,0.6395976060465676,3.1782694211488582,nan,1.425066941738961,nan
BENLOS,2.6888888888888887,0.13406005983882258,0.5,1.0,0.6865921195814451,3.735031218859762,nan,1.600777320182856,nan
BENLOS,2.8222222222222224,0.13207288608191786,0.5,1.0,0.6996512204908392,3.905864869034538,nan,1.6525332132659087,nan
BENLOS,3.166666666666666,0.12789759688537827,0.5,1.0,0.729375654540575,4.310822901397259,nan,1.7726366696378253,nan
BENLOS,3.366666666666667,0.12577201093577212,0.5,1.0,0.7443613838172318,4.533629317345256,nan,1.8364769628873507,nan
BENLOS,3.644444444444444,0.12251133443698169,0.5,1.0,0.7628709481934648,4.847985102611385,nan,1.9225862997109893,nan
BENLOS,3.911111111111112,0.11987921724313647,0.5,1.0,0.7784938959365842,5.128860660331581,nan,1.997667786616138,nan
BENLOS,4.122222222222222,0.11830503064463836,0.5,1.0,0.789590764085748,5.328029800820536,nan,2.050550630490545,nan
BENLOS,4.455555555555556,0.11566854665704157,0.5,1.0,0.8051708984838705,5.637942198680242,nan,2.1300565451184714,nan
BENLOS,4.6,0.1150261984022496,0.5,1.0,0.8112778490676534,5.749409796227681,nan,2.1591455689471326,nan
BENLOS,5.5,0.11003590602671066,0.5,1.0,0.8424966997116561,6.4415503662262505,nan,2.328968576690941,nan
BENLOS,5.944444444444445,0.10810677955411899,0.5,1.0,0.8545576646120999,6.731368547106801,nan,2.397753288195363,nan
BENLOS,6.388888888888889,0.10655116621777462,0.5,1.0,0.8649759034076425,6.991244956876729,nan,2.4584426989334904,nan
EXPERR,0.1,0.05675230807848984,0.0,0.9978225337583645,0.06215579975413192,0.41006464320616487,0.062017729676693875,0.15928880308021515,0.15964687255902843
EXPERR,0.62,0.04130824920813461,0.0,0.9990118861225425,0.33592450349535485,3.0102822358440564,0.335542271281392,1.0043613261896707,1.0055128068465244
EXPERR,1.14,0.028578500931690193,0.0,1.0000152838409715,0.5321908452230862,6.768592708246172,0.5320916782657369,1.8975096674218905,1.89771430981226
EXPERR,1.66,0.020036907737347155,0.0,0.999128349237568,0.6659312588680819,11.914143469857722,0.6653983599471615,2.814122362256226,2.8163956755772084
EXPERR,2.18,0.014474022224545887,0.0,1.0019974330399506,0.7554449928674749,18.536297575589202,0.7563192586435307,3.7459896713196725,3.741671957583462
EXPERR,2.71,0.010832423971621227,0.0,0.9998787890461318,0.8176104326051055,26.756339658198986,0.8173508897086225,4.675302121382612,4.676762930661396
EXPERR,3.23,0.008436853608282616,0.0,0.9994056684175877,0.8590633448653073,36.14441581831989,0.8589118517341197,5.570862612653789,5.571828776407044
EXPERR,3.75,0.006587484865179854,0.0,1.0020890582219046,0.8890410798624333,47.696143222787676,0.88986426046342,6.517422189367332,6.511368692336018
EXPERR,4.27,0.005667236191084038,0.0,1.0003985389816088,0.9106501340751504,58.1742059948803,0.9107107968092683,7.27842650954334,7.277999382024673
